category,skill
Statistics,Survival Analysis
Statistics,Causal Inference
Statistics,Clinical Trials
Statistics,Regression
Statistics,Generalized Linear Modeling
Statistics,Mixed Modeling
Statistics,Correlated Data Analysis
Statistics,Data Exploration and Visualization
Programming/Scripting,"R (Tidyverse, data.table, rcpp, Shiny, Knitr/R Markdown)"
Programming/Scripting,SAS
Programming/Scripting,"C++ (Armadillo, Eigen)"
Programming/Scripting,SQL
Other,Excellent Written and Verbal Communication
Other,Creativity
Other,Time Management
Other,Teamwork
